,연도,일시,측정소,PM2.5
107,4,01-09 11:00,공주,0.10903841
108,4,01-09 12:00,공주,0.08580704
109,4,01-09 13:00,공주,0.074060686
110,4,01-09 14:00,공주,0.059003595
111,4,01-09 15:00,공주,0.055002876
112,4,01-09 16:00,공주,0.044913564
113,4,01-09 17:00,공주,0.04538799
114,4,01-09 18:00,공주,0.064601965
115,4,01-09 19:00,공주,0.063504785
116,4,01-09 20:00,공주,0.06376688
117,4,01-09 21:00,공주,0.060620803
118,4,01-09 22:00,공주,0.061751284
119,4,01-09 23:00,공주,0.06402375
120,4,01-10 00:00,공주,0.06286878
121,4,01-10 01:00,공주,0.061547644
122,4,01-10 02:00,공주,0.063021585
123,4,01-10 03:00,공주,0.059909545
124,4,01-10 04:00,공주,0.055451855
125,4,01-10 05:00,공주,0.05401357
126,4,01-10 06:00,공주,0.057854503
127,4,01-10 07:00,공주,0.071654275
128,4,01-10 08:00,공주,0.10227496
129,4,01-10 09:00,공주,0.1254018
130,4,01-10 10:00,공주,0.122068144
131,4,01-10 11:00,공주,0.10903841
132,4,01-10 12:00,공주,0.08580704
133,4,01-10 13:00,공주,0.074060686
134,4,01-10 14:00,공주,0.059003595
135,4,01-10 15:00,공주,0.055002876
136,4,01-10 16:00,공주,0.044913564
137,4,01-10 17:00,공주,0.04538799
138,4,01-10 18:00,공주,0.064601965
139,4,01-10 19:00,공주,0.063504785
140,4,01-10 20:00,공주,0.06376688
141,4,01-10 21:00,공주,0.060620803
142,4,01-10 22:00,공주,0.061751284
143,4,01-10 23:00,공주,0.06402375
144,4,01-13 00:00,공주,0.12322813
145,4,01-13 01:00,공주,0.11601334
146,4,01-13 02:00,공주,0.1249409
147,4,01-13 03:00,공주,0.11884188
148,4,01-13 04:00,공주,0.11835578
149,4,01-13 05:00,공주,0.11768362
150,4,01-13 06:00,공주,0.1243279
151,4,01-13 07:00,공주,0.14423886
152,4,01-13 08:00,공주,0.18170723
153,4,01-13 09:00,공주,0.1978062
154,4,01-13 10:00,공주,0.22042333
155,4,01-13 11:00,공주,0.21599564
156,4,01-13 12:00,공주,0.186477
157,4,01-13 13:00,공주,0.16858816
158,4,01-13 14:00,공주,0.15176515
159,4,01-13 15:00,공주,0.12517925
160,4,01-13 16:00,공주,0.119991444
161,4,01-13 17:00,공주,0.108076416
162,4,01-13 18:00,공주,0.11778904
163,4,01-13 19:00,공주,0.11959322
164,4,01-13 20:00,공주,0.1251738
165,4,01-13 21:00,공주,0.12041774
166,4,01-13 22:00,공주,0.12036824
167,4,01-13 23:00,공주,0.11979411
168,4,01-14 00:00,공주,0.12322813
169,4,01-14 01:00,공주,0.11601334
170,4,01-14 02:00,공주,0.1249409
171,4,01-14 03:00,공주,0.11884188
172,4,01-14 04:00,공주,0.11835578
173,4,01-14 05:00,공주,0.11768362
174,4,01-14 06:00,공주,0.1243279
175,4,01-14 07:00,공주,0.14423886
176,4,01-14 08:00,공주,0.18170723
177,4,01-14 09:00,공주,0.1978062
178,4,01-14 10:00,공주,0.22042333
179,4,01-14 11:00,공주,0.21599564
180,4,01-14 12:00,공주,0.186477
181,4,01-14 13:00,공주,0.16858816
182,4,01-14 14:00,공주,0.15176515
183,4,01-14 15:00,공주,0.12517925
184,4,01-14 16:00,공주,0.119991444
185,4,01-14 17:00,공주,0.108076416
186,4,01-14 18:00,공주,0.11778904
187,4,01-14 19:00,공주,0.11959322
188,4,01-14 20:00,공주,0.1251738
189,4,01-14 21:00,공주,0.12041774
190,4,01-14 22:00,공주,0.12036824
191,4,01-14 23:00,공주,0.11979411
192,4,01-15 00:00,공주,0.12322813
193,4,01-15 01:00,공주,0.11601334
194,4,01-15 02:00,공주,0.1249409
195,4,01-15 03:00,공주,0.11884188
196,4,01-15 04:00,공주,0.11835578
197,4,01-15 05:00,공주,0.11768362
198,4,01-15 06:00,공주,0.1243279
199,4,01-15 07:00,공주,0.14423886
200,4,01-15 08:00,공주,0.18170723
201,4,01-15 09:00,공주,0.1978062
202,4,01-15 10:00,공주,0.22042333
203,4,01-15 11:00,공주,0.21599564
204,4,01-15 12:00,공주,0.186477
205,4,01-15 13:00,공주,0.16858816
206,4,01-15 14:00,공주,0.15176515
207,4,01-15 15:00,공주,0.12517925
208,4,01-15 16:00,공주,0.119991444
209,4,01-15 17:00,공주,0.108076416
210,4,01-15 18:00,공주,0.11778904
211,4,01-15 19:00,공주,0.11959322
212,4,01-15 20:00,공주,0.1251738
213,4,01-15 21:00,공주,0.12041774
214,4,01-15 22:00,공주,0.12036824
215,4,01-15 23:00,공주,0.11979411
216,4,01-18 00:00,공주,0.09904037
217,4,01-18 01:00,공주,0.09815616
218,4,01-18 02:00,공주,0.106486745
219,4,01-18 03:00,공주,0.10446199
220,4,01-18 04:00,공주,0.09894016
221,4,01-18 05:00,공주,0.101958886
222,4,01-18 06:00,공주,0.10718313
223,4,01-18 07:00,공주,0.12899096
224,4,01-18 08:00,공주,0.16777581
225,4,01-18 09:00,공주,0.18526544
226,4,01-18 10:00,공주,0.1752741
227,4,01-18 11:00,공주,0.16963427
228,4,01-18 12:00,공주,0.14226258
229,4,01-18 13:00,공주,0.12635241
230,4,01-18 14:00,공주,0.10818766
231,4,01-18 15:00,공주,0.10331535
232,4,01-18 16:00,공주,0.09425661
233,4,01-18 17:00,공주,0.09011157
234,4,01-18 18:00,공주,0.09730134
235,4,01-18 19:00,공주,0.1007384
236,4,01-18 20:00,공주,0.09888749
237,4,01-18 21:00,공주,0.09848508
238,4,01-18 22:00,공주,0.104327135
239,4,01-18 23:00,공주,0.10130789
240,4,01-19 00:00,공주,0.09904037
241,4,01-19 01:00,공주,0.09815616
242,4,01-19 02:00,공주,0.106486745
243,4,01-19 03:00,공주,0.10446199
244,4,01-19 04:00,공주,0.09894016
245,4,01-19 05:00,공주,0.101958886
246,4,01-19 06:00,공주,0.10718313
247,4,01-19 07:00,공주,0.12899096
248,4,01-19 08:00,공주,0.16777581
249,4,01-19 09:00,공주,0.18526544
250,4,01-19 10:00,공주,0.1752741
251,4,01-19 11:00,공주,0.16963427
252,4,01-19 12:00,공주,0.14226258
253,4,01-19 13:00,공주,0.12635241
254,4,01-19 14:00,공주,0.10818766
255,4,01-19 15:00,공주,0.10331535
256,4,01-19 16:00,공주,0.09425661
257,4,01-19 17:00,공주,0.09011157
258,4,01-19 18:00,공주,0.09730134
259,4,01-19 19:00,공주,0.1007384
260,4,01-19 20:00,공주,0.09888749
261,4,01-19 21:00,공주,0.09848508
262,4,01-19 22:00,공주,0.104327135
263,4,01-19 23:00,공주,0.10130789
264,4,01-20 00:00,공주,0.09904037
265,4,01-20 01:00,공주,0.09815616
266,4,01-20 02:00,공주,0.106486745
267,4,01-20 03:00,공주,0.10446199
268,4,01-20 04:00,공주,0.09894016
269,4,01-20 05:00,공주,0.101958886
270,4,01-20 06:00,공주,0.10718313
271,4,01-20 07:00,공주,0.12899096
272,4,01-20 08:00,공주,0.16777581
273,4,01-20 09:00,공주,0.18526544
274,4,01-20 10:00,공주,0.1752741
275,4,01-20 11:00,공주,0.16963427
276,4,01-20 12:00,공주,0.14226258
277,4,01-20 13:00,공주,0.12635241
278,4,01-20 14:00,공주,0.10818766
279,4,01-20 15:00,공주,0.10331535
280,4,01-20 16:00,공주,0.09425661
281,4,01-20 17:00,공주,0.09011157
282,4,01-20 18:00,공주,0.09730134
283,4,01-20 19:00,공주,0.1007384
284,4,01-20 20:00,공주,0.09888749
285,4,01-20 21:00,공주,0.09848508
286,4,01-20 22:00,공주,0.104327135
287,4,01-20 23:00,공주,0.10130789
288,4,01-23 00:00,공주,0.10506618
289,4,01-23 01:00,공주,0.10689587
290,4,01-23 02:00,공주,0.105948776
291,4,01-23 03:00,공주,0.102525674
292,4,01-23 04:00,공주,0.09942841
293,4,01-23 05:00,공주,0.101846986
294,4,01-23 06:00,공주,0.103948675
295,4,01-23 07:00,공주,0.11984676
296,4,01-23 08:00,공주,0.14887741
297,4,01-23 09:00,공주,0.16750126
298,4,01-23 10:00,공주,0.16379623
299,4,01-23 11:00,공주,0.16872497
300,4,01-23 12:00,공주,0.140932
301,4,01-23 13:00,공주,0.12809125
302,4,01-23 14:00,공주,0.10888672
303,4,01-23 15:00,공주,0.10562303
304,4,01-23 16:00,공주,0.09680958
305,4,01-23 17:00,공주,0.09527252
306,4,01-23 18:00,공주,0.102157086
307,4,01-23 19:00,공주,0.10717576
308,4,01-23 20:00,공주,0.105027534
309,4,01-23 21:00,공주,0.10360765
310,4,01-23 22:00,공주,0.10341741
311,4,01-23 23:00,공주,0.105779015
312,4,01-24 00:00,공주,0.10506618
313,4,01-24 01:00,공주,0.10689587
314,4,01-24 02:00,공주,0.105948776
315,4,01-24 03:00,공주,0.102525674
316,4,01-24 04:00,공주,0.09942841
317,4,01-24 05:00,공주,0.101846986
318,4,01-24 06:00,공주,0.103948675
319,4,01-24 07:00,공주,0.11984676
320,4,01-24 08:00,공주,0.14887741
321,4,01-24 09:00,공주,0.16750126
322,4,01-24 10:00,공주,0.16379623
323,4,01-24 11:00,공주,0.16872497
324,4,01-24 12:00,공주,0.140932
325,4,01-24 13:00,공주,0.12809125
326,4,01-24 14:00,공주,0.10888672
327,4,01-24 15:00,공주,0.10562303
328,4,01-24 16:00,공주,0.09680958
329,4,01-24 17:00,공주,0.09527252
330,4,01-24 18:00,공주,0.102157086
331,4,01-24 19:00,공주,0.10717576
332,4,01-24 20:00,공주,0.105027534
333,4,01-24 21:00,공주,0.10360765
334,4,01-24 22:00,공주,0.10341741
335,4,01-24 23:00,공주,0.105779015
336,4,01-25 00:00,공주,0.10506618
337,4,01-25 01:00,공주,0.10689587
338,4,01-25 02:00,공주,0.105948776
339,4,01-25 03:00,공주,0.102525674
340,4,01-25 04:00,공주,0.09942841
341,4,01-25 05:00,공주,0.101846986
342,4,01-25 06:00,공주,0.103948675
343,4,01-25 07:00,공주,0.11984676
344,4,01-25 08:00,공주,0.14887741
345,4,01-25 09:00,공주,0.16750126
346,4,01-25 10:00,공주,0.16379623
347,4,01-25 11:00,공주,0.16872497
348,4,01-25 12:00,공주,0.140932
349,4,01-25 13:00,공주,0.12809125
350,4,01-25 14:00,공주,0.10888672
351,4,01-25 15:00,공주,0.10562303
352,4,01-25 16:00,공주,0.09680958
353,4,01-25 17:00,공주,0.09527252
354,4,01-25 18:00,공주,0.102157086
355,4,01-25 19:00,공주,0.10717576
356,4,01-25 20:00,공주,0.105027534
357,4,01-25 21:00,공주,0.10360765
358,4,01-25 22:00,공주,0.10341741
359,4,01-25 23:00,공주,0.105779015
360,4,01-28 00:00,공주,0.091814004
361,4,01-28 01:00,공주,0.091469415
362,4,01-28 02:00,공주,0.09360176
363,4,01-28 03:00,공주,0.09212527
364,4,01-28 04:00,공주,0.09297132
365,4,01-28 05:00,공주,0.09404275
366,4,01-28 06:00,공주,0.09726491
367,4,01-28 07:00,공주,0.11029991
368,4,01-28 08:00,공주,0.13410819
369,4,01-28 09:00,공주,0.14805269
370,4,01-28 10:00,공주,0.14440942
371,4,01-28 11:00,공주,0.14475332
372,4,01-28 12:00,공주,0.1211827
373,4,01-28 13:00,공주,0.10762056
374,4,01-28 14:00,공주,0.087909184
375,4,01-28 15:00,공주,0.08542564
376,4,01-28 16:00,공주,0.079418235
377,4,01-28 17:00,공주,0.084058
378,4,01-28 18:00,공주,0.09202232
379,4,01-28 19:00,공주,0.09802063
380,4,01-28 20:00,공주,0.09578378
381,4,01-28 21:00,공주,0.09199154
382,4,01-28 22:00,공주,0.09066609
383,4,01-28 23:00,공주,0.0930004
384,4,01-29 00:00,공주,0.091814004
385,4,01-29 01:00,공주,0.091469415
386,4,01-29 02:00,공주,0.09360176
387,4,01-29 03:00,공주,0.09212527
388,4,01-29 04:00,공주,0.09297132
389,4,01-29 05:00,공주,0.09404275
390,4,01-29 06:00,공주,0.09726491
391,4,01-29 07:00,공주,0.11029991
392,4,01-29 08:00,공주,0.13410819
393,4,01-29 09:00,공주,0.14805269
394,4,01-29 10:00,공주,0.14440942
395,4,01-29 11:00,공주,0.14475332
396,4,01-29 12:00,공주,0.1211827
397,4,01-29 13:00,공주,0.10762056
398,4,01-29 14:00,공주,0.087909184
399,4,01-29 15:00,공주,0.08542564
400,4,01-29 16:00,공주,0.079418235
401,4,01-29 17:00,공주,0.084058
402,4,01-29 18:00,공주,0.09202232
403,4,01-29 19:00,공주,0.09802063
404,4,01-29 20:00,공주,0.09578378
405,4,01-29 21:00,공주,0.09199154
406,4,01-29 22:00,공주,0.09066609
407,4,01-29 23:00,공주,0.0930004
408,4,01-30 00:00,공주,0.091814004
409,4,01-30 01:00,공주,0.091469415
410,4,01-30 02:00,공주,0.09360176
411,4,01-30 03:00,공주,0.09212527
412,4,01-30 04:00,공주,0.09297132
413,4,01-30 05:00,공주,0.09404275
414,4,01-30 06:00,공주,0.09726491
415,4,01-30 07:00,공주,0.11029991
416,4,01-30 08:00,공주,0.13410819
417,4,01-30 09:00,공주,0.14805269
418,4,01-30 10:00,공주,0.14440942
419,4,01-30 11:00,공주,0.14475332
420,4,01-30 12:00,공주,0.1211827
421,4,01-30 13:00,공주,0.10762056
422,4,01-30 14:00,공주,0.087909184
423,4,01-30 15:00,공주,0.08542564
424,4,01-30 16:00,공주,0.079418235
425,4,01-30 17:00,공주,0.084058
426,4,01-30 18:00,공주,0.09202232
427,4,01-30 19:00,공주,0.09802063
428,4,01-30 20:00,공주,0.09578378
429,4,01-30 21:00,공주,0.09199154
430,4,01-30 22:00,공주,0.09066609
431,4,01-30 23:00,공주,0.0930004
432,4,02-02 00:00,공주,0.09855068
433,4,02-02 01:00,공주,0.09460893
434,4,02-02 02:00,공주,0.08804939
435,4,02-02 03:00,공주,0.08538606
436,4,02-02 04:00,공주,0.082257174
437,4,02-02 05:00,공주,0.08256173
438,4,02-02 06:00,공주,0.08769403
439,4,02-02 07:00,공주,0.11178076
440,4,02-02 08:00,공주,0.14882095
441,4,02-02 09:00,공주,0.17028108
442,4,02-02 10:00,공주,0.16941024
443,4,02-02 11:00,공주,0.16092297
444,4,02-02 12:00,공주,0.13143188
445,4,02-02 13:00,공주,0.12026407
446,4,02-02 14:00,공주,0.1167248
447,4,02-02 15:00,공주,0.11111867
448,4,02-02 16:00,공주,0.09788033
449,4,02-02 17:00,공주,0.089059316
450,4,02-02 18:00,공주,0.08774153
451,4,02-02 19:00,공주,0.09604057
452,4,02-02 20:00,공주,0.09897591
453,4,02-02 21:00,공주,0.09753164
454,4,02-02 22:00,공주,0.09448242
455,4,02-02 23:00,공주,0.094463915
456,4,02-03 00:00,공주,0.09855068
457,4,02-03 01:00,공주,0.09460893
458,4,02-03 02:00,공주,0.08804939
459,4,02-03 03:00,공주,0.08538606
460,4,02-03 04:00,공주,0.082257174
461,4,02-03 05:00,공주,0.08256173
462,4,02-03 06:00,공주,0.08769403
463,4,02-03 07:00,공주,0.11178076
464,4,02-03 08:00,공주,0.14882095
465,4,02-03 09:00,공주,0.17028108
466,4,02-03 10:00,공주,0.16941024
467,4,02-03 11:00,공주,0.16092297
468,4,02-03 12:00,공주,0.13143188
469,4,02-03 13:00,공주,0.12026407
470,4,02-03 14:00,공주,0.1167248
471,4,02-03 15:00,공주,0.11111867
472,4,02-03 16:00,공주,0.09788033
473,4,02-03 17:00,공주,0.089059316
474,4,02-03 18:00,공주,0.08774153
475,4,02-03 19:00,공주,0.09604057
476,4,02-03 20:00,공주,0.09897591
477,4,02-03 21:00,공주,0.09753164
478,4,02-03 22:00,공주,0.09448242
479,4,02-03 23:00,공주,0.094463915
480,4,02-04 00:00,공주,0.09855068
481,4,02-04 01:00,공주,0.09460893
482,4,02-04 02:00,공주,0.08804939
483,4,02-04 03:00,공주,0.08538606
484,4,02-04 04:00,공주,0.082257174
485,4,02-04 05:00,공주,0.08256173
486,4,02-04 06:00,공주,0.08769403
487,4,02-04 07:00,공주,0.11178076
488,4,02-04 08:00,공주,0.14882095
489,4,02-04 09:00,공주,0.17028108
490,4,02-04 10:00,공주,0.16941024
491,4,02-04 11:00,공주,0.16092297
492,4,02-04 12:00,공주,0.13143188
493,4,02-04 13:00,공주,0.12026407
494,4,02-04 14:00,공주,0.1167248
495,4,02-04 15:00,공주,0.11111867
496,4,02-04 16:00,공주,0.09788033
497,4,02-04 17:00,공주,0.089059316
498,4,02-04 18:00,공주,0.08774153
499,4,02-04 19:00,공주,0.09604057
500,4,02-04 20:00,공주,0.09897591
501,4,02-04 21:00,공주,0.09753164
502,4,02-04 22:00,공주,0.09448242
503,4,02-04 23:00,공주,0.094463915
504,4,02-07 00:00,공주,0.04273604
505,4,02-07 01:00,공주,0.039493755
506,4,02-07 02:00,공주,0.03375869
507,4,02-07 03:00,공주,0.03175604
508,4,02-07 04:00,공주,0.030491782
509,4,02-07 05:00,공주,0.030781748
510,4,02-07 06:00,공주,0.03566854
511,4,02-07 07:00,공주,0.066811465
512,4,02-07 08:00,공주,0.08254525
513,4,02-07 09:00,공주,0.113646865
514,4,02-07 10:00,공주,0.1138405
515,4,02-07 11:00,공주,0.12628235
516,4,02-07 12:00,공주,0.09999072
517,4,02-07 13:00,공주,0.08453771
518,4,02-07 14:00,공주,0.05220769
519,4,02-07 15:00,공주,0.04549494
520,4,02-07 16:00,공주,0.021984447
521,4,02-07 17:00,공주,0.035489917
522,4,02-07 18:00,공주,0.033528335
523,4,02-07 19:00,공주,0.038267564
524,4,02-07 20:00,공주,0.041048203
525,4,02-07 21:00,공주,0.040831894
526,4,02-07 22:00,공주,0.03598051
527,4,02-07 23:00,공주,0.037587486
528,4,02-08 00:00,공주,0.04273604
529,4,02-08 01:00,공주,0.039493755
530,4,02-08 02:00,공주,0.03375869
531,4,02-08 03:00,공주,0.03175604
532,4,02-08 04:00,공주,0.030491782
533,4,02-08 05:00,공주,0.030781748
534,4,02-08 06:00,공주,0.03566854
535,4,02-08 07:00,공주,0.066811465
536,4,02-08 08:00,공주,0.08254525
537,4,02-08 09:00,공주,0.113646865
538,4,02-08 10:00,공주,0.1138405
539,4,02-08 11:00,공주,0.12628235
540,4,02-08 12:00,공주,0.09999072
541,4,02-08 13:00,공주,0.08453771
542,4,02-08 14:00,공주,0.05220769
543,4,02-08 15:00,공주,0.04549494
544,4,02-08 16:00,공주,0.021984447
545,4,02-08 17:00,공주,0.035489917
546,4,02-08 18:00,공주,0.033528335
547,4,02-08 19:00,공주,0.038267564
548,4,02-08 20:00,공주,0.041048203
549,4,02-08 21:00,공주,0.040831894
550,4,02-08 22:00,공주,0.03598051
551,4,02-08 23:00,공주,0.037587486
552,4,02-09 00:00,공주,0.04273604
553,4,02-09 01:00,공주,0.039493755
554,4,02-09 02:00,공주,0.03375869
555,4,02-09 03:00,공주,0.03175604
556,4,02-09 04:00,공주,0.030491782
557,4,02-09 05:00,공주,0.030781748
558,4,02-09 06:00,공주,0.03566854
559,4,02-09 07:00,공주,0.066811465
560,4,02-09 08:00,공주,0.08254525
561,4,02-09 09:00,공주,0.113646865
562,4,02-09 10:00,공주,0.1138405
563,4,02-09 11:00,공주,0.12628235
564,4,02-09 12:00,공주,0.09999072
565,4,02-09 13:00,공주,0.08453771
566,4,02-09 14:00,공주,0.05220769
567,4,02-09 15:00,공주,0.04549494
568,4,02-09 16:00,공주,0.021984447
569,4,02-09 17:00,공주,0.035489917
570,4,02-09 18:00,공주,0.033528335
571,4,02-09 19:00,공주,0.038267564
572,4,02-09 20:00,공주,0.041048203
573,4,02-09 21:00,공주,0.040831894
574,4,02-09 22:00,공주,0.03598051
575,4,02-09 23:00,공주,0.037587486
576,4,02-12 00:00,공주,0.04112031
577,4,02-12 01:00,공주,0.0413761
578,4,02-12 02:00,공주,0.052373435
579,4,02-12 03:00,공주,0.050344914
580,4,02-12 04:00,공주,0.04620244
581,4,02-12 05:00,공주,0.047183707
582,4,02-12 06:00,공주,0.04452762
583,4,02-12 07:00,공주,0.06438151
584,4,02-12 08:00,공주,0.07271738
585,4,02-12 09:00,공주,0.078211695
586,4,02-12 10:00,공주,0.0822378
587,4,02-12 11:00,공주,0.06397731
588,4,02-12 12:00,공주,0.064255826
589,4,02-12 13:00,공주,0.05110843
590,4,02-12 14:00,공주,0.04775295
591,4,02-12 15:00,공주,0.041364107
592,4,02-12 16:00,공주,0.038969517
593,4,02-12 17:00,공주,0.043066397
594,4,02-12 18:00,공주,0.041537713
595,4,02-12 19:00,공주,0.042710938
596,4,02-12 20:00,공주,0.03727457
597,4,02-12 21:00,공주,0.03668456
598,4,02-12 22:00,공주,0.03431194
599,4,02-12 23:00,공주,0.037292935
600,4,02-13 00:00,공주,0.04112031
601,4,02-13 01:00,공주,0.0413761
602,4,02-13 02:00,공주,0.052373435
603,4,02-13 03:00,공주,0.050344914
604,4,02-13 04:00,공주,0.04620244
605,4,02-13 05:00,공주,0.047183707
606,4,02-13 06:00,공주,0.04452762
607,4,02-13 07:00,공주,0.06438151
608,4,02-13 08:00,공주,0.07271738
609,4,02-13 09:00,공주,0.078211695
610,4,02-13 10:00,공주,0.0822378
611,4,02-13 11:00,공주,0.06397731
612,4,02-13 12:00,공주,0.064255826
613,4,02-13 13:00,공주,0.05110843
614,4,02-13 14:00,공주,0.04775295
615,4,02-13 15:00,공주,0.041364107
616,4,02-13 16:00,공주,0.038969517
617,4,02-13 17:00,공주,0.043066397
618,4,02-13 18:00,공주,0.041537713
619,4,02-13 19:00,공주,0.042710938
620,4,02-13 20:00,공주,0.03727457
621,4,02-13 21:00,공주,0.03668456
622,4,02-13 22:00,공주,0.03431194
623,4,02-13 23:00,공주,0.037292935
624,4,02-14 00:00,공주,0.04112031
625,4,02-14 01:00,공주,0.0413761
626,4,02-14 02:00,공주,0.052373435
627,4,02-14 03:00,공주,0.050344914
628,4,02-14 04:00,공주,0.04620244
629,4,02-14 05:00,공주,0.047183707
630,4,02-14 06:00,공주,0.04452762
631,4,02-14 07:00,공주,0.06438151
632,4,02-14 08:00,공주,0.07271738
633,4,02-14 09:00,공주,0.078211695
634,4,02-14 10:00,공주,0.0822378
635,4,02-14 11:00,공주,0.06397731
636,4,02-14 12:00,공주,0.064255826
637,4,02-14 13:00,공주,0.05110843
638,4,02-14 14:00,공주,0.04775295
639,4,02-14 15:00,공주,0.041364107
640,4,02-14 16:00,공주,0.038969517
641,4,02-14 17:00,공주,0.043066397
642,4,02-14 18:00,공주,0.041537713
643,4,02-14 19:00,공주,0.042710938
644,4,02-14 20:00,공주,0.03727457
645,4,02-14 21:00,공주,0.03668456
646,4,02-14 22:00,공주,0.03431194
647,4,02-14 23:00,공주,0.037292935
648,4,02-17 00:00,공주,0.1014924
649,4,02-17 01:00,공주,0.11045927
650,4,02-17 02:00,공주,0.11537151
651,4,02-17 03:00,공주,0.12600398
652,4,02-17 04:00,공주,0.119997665
653,4,02-17 05:00,공주,0.118644394
654,4,02-17 06:00,공주,0.12056808
655,4,02-17 07:00,공주,0.13647936
656,4,02-17 08:00,공주,0.17451684
657,4,02-17 09:00,공주,0.18744698
658,4,02-17 10:00,공주,0.15883103
659,4,02-17 11:00,공주,0.12153328
660,4,02-17 12:00,공주,0.093331054
661,4,02-17 13:00,공주,0.08155288
662,4,02-17 14:00,공주,0.091114774
663,4,02-17 15:00,공주,0.104913436
664,4,02-17 16:00,공주,0.105619386
